File,Album Artist,Album,Copyright Before,Copyright After,Outcome,Source,Note
2NE1 || 2NE1 2nd Mini Album/2NE1 - Don't Cry.mp3,2NE1,2NE1 2nd Mini Album,YG Entertainment,,no match,,
BTS || Love Yourself 轉 'Tear'/BTS - Anpanman.mp3,BTS,Love Yourself 轉 'Tear',© 2018 BIGHIT MUSIC,℗ 2018 BIGHIT MUSIC,written,iTunes,
BTS || Love Yourself 轉 'Tear'/BTS - FAKE LOVE.mp3,BTS,Love Yourself 轉 'Tear',© 2018 BIGHIT MUSIC,℗ 2018 BIGHIT MUSIC,written,iTunes,
BTS || Love Yourself 轉 'Tear'/BTS - Love Maze.mp3,BTS,Love Yourself 轉 'Tear',© 2018 BIGHIT MUSIC,℗ 2018 BIGHIT MUSIC,written,iTunes,
BTS || Love Yourself 轉 'Tear'/BTS - Magic Shop.mp3,BTS,Love Yourself 轉 'Tear',© 2018 BIGHIT MUSIC,℗ 2018 BIGHIT MUSIC,written,iTunes,
BTS || Love Yourself 轉 'Tear'/BTS - Paradise.mp3,BTS,Love Yourself 轉 'Tear',© 2018 BIGHIT MUSIC,℗ 2018 BIGHIT MUSIC,written,iTunes,
BTS || Love Yourself 轉 'Tear'/BTS - So What.mp3,BTS,Love Yourself 轉 'Tear',© 2018 BIGHIT MUSIC,℗ 2018 BIGHIT MUSIC,written,iTunes,
BTS || Love Yourself 轉 'Tear'/BTS - The Truth Untold (feat. Steve Aoki).mp3,BTS,Love Yourself 轉 'Tear',© 2018 BIGHIT MUSIC,℗ 2018 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL : 7 ~ THE JOURNEY ~/BTS - Lights.mp3,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,© 2020 UNIVERSAL MUSIC LLC,A Virgin Music release; ℗ 2020 UNIVERSAL MUSIC LLC,written,iTunes,
BTS || MAP OF THE SOUL : 7 ~ THE JOURNEY ~/BTS - Stay Gold.mp3,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,© 2020 UNIVERSAL MUSIC LLC,A Virgin Music release; ℗ 2020 UNIVERSAL MUSIC LLC,written,iTunes,
BTS || MAP OF THE SOUL : 7 ~ THE JOURNEY ~/BTS - Your eyes tell.mp3,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,© 2020 UNIVERSAL MUSIC LLC,A Virgin Music release; ℗ 2020 UNIVERSAL MUSIC LLC,written,iTunes,
BTS || MAP OF THE SOUL : PERSONA/BTS - Boy With Luv (feat. Halsey).mp3,BTS,MAP OF THE SOUL : PERSONA,© 2019 BIGHIT MUSIC,℗ 2019 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL : PERSONA/BTS - Dionysus.mp3,BTS,MAP OF THE SOUL : PERSONA,© 2019 BIGHIT MUSIC,℗ 2019 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL : PERSONA/BTS - HOME.mp3,BTS,MAP OF THE SOUL : PERSONA,© 2019 BIGHIT MUSIC,℗ 2019 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL : PERSONA/BTS - Intro - Persona.mp3,BTS,MAP OF THE SOUL : PERSONA,© 2019 BIGHIT MUSIC,℗ 2019 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL : PERSONA/BTS - Jamais Vu.mp3,BTS,MAP OF THE SOUL : PERSONA,© 2019 BIGHIT MUSIC,℗ 2019 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL : PERSONA/BTS - Make It Right.mp3,BTS,MAP OF THE SOUL : PERSONA,© 2019 BIGHIT MUSIC,℗ 2019 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL : PERSONA/BTS - Mikrokosmos.mp3,BTS,MAP OF THE SOUL : PERSONA,© 2019 BIGHIT MUSIC,℗ 2019 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - 00-00 (Zero O’Clock).mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Black Swan.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Filter.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Friends.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Inner Child.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Interlude - Shadow.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Louder than bombs.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Moon.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - My Time.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - ON (Feat. Sia).mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Outro - Ego.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - Respect.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
BTS || MAP OF THE SOUL：7/BTS - We are Bulletproof - the Eternal.mp3,BTS,MAP OF THE SOUL : 7,© 2020 BIGHIT MUSIC,℗ 2020 BIGHIT MUSIC,written,iTunes,
"BTS || O!RUL8,2?/BTS - Attack on Bangtan.mp3",BTS,"O!RUL8,2?",© 2013 BIGHIT MUSIC,℗ 2013 BIGHIT MUSIC,written,iTunes,
"BTS || O!RUL8,2?/BTS - Coffee.mp3",BTS,"O!RUL8,2?",© 2013 BIGHIT MUSIC,℗ 2013 BIGHIT MUSIC,written,iTunes,
"BTS || O!RUL8,2?/BTS - If I Ruled the World.mp3",BTS,"O!RUL8,2?",© 2013 BIGHIT MUSIC,℗ 2013 BIGHIT MUSIC,written,iTunes,
"BTS || O!RUL8,2?/BTS - N.O.mp3",BTS,"O!RUL8,2?",© 2013 BIGHIT MUSIC,℗ 2013 BIGHIT MUSIC,written,iTunes,
"BTS || O!RUL8,2?/BTS - Outro- Luv in Skool.mp3",BTS,"O!RUL8,2?",© 2013 BIGHIT MUSIC,℗ 2013 BIGHIT MUSIC,written,iTunes,
"BTS || O!RUL8,2?/BTS - We On.mp3",BTS,"O!RUL8,2?",© 2013 BIGHIT MUSIC,℗ 2013 BIGHIT MUSIC,written,iTunes,
BTS || Permission to Dance - Single/BTS - Permission to Dance.mp3,BTS,Permission to Dance,© 2021 BIGHIT MUSIC,,no match,,
BTS || Proof/BTS - Born Singer.mp3,BTS,Proof,© 2022 BIGHIT MUSIC,℗ 2022 BIGHIT MUSIC,written,iTunes,
BTS || Proof/BTS - Butter.mp3,BTS,Proof,© 2022 BIGHIT MUSIC,℗ 2022 BIGHIT MUSIC,written,iTunes,
BTS || Proof/BTS - For Youth.mp3,BTS,Proof,© 2022 BIGHIT MUSIC,℗ 2022 BIGHIT MUSIC,written,iTunes,
BTS || Proof/BTS - Run BTS.mp3,BTS,Proof,© 2022 BIGHIT MUSIC,℗ 2022 BIGHIT MUSIC,written,iTunes,
BTS || Proof/BTS - Yet To Come.mp3,BTS,Proof,© 2022 BIGHIT MUSIC,℗ 2022 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Boy in Luv.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Intro- Skool Luv Affair.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Jump.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Just One Day.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Like (Slow Jam Remix).mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Miss Right.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Outro- Propose.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Spine Breaker.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Tomorrow.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || Skool Luv Affair (Special Addition)/BTS - Where You From.mp3,BTS,Skool Luv Affair (Special Addition),© 2014 BIGHIT MUSIC,℗ 2014 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life Pt.1/BTS - Boyz with Fun.mp3,BTS,The Most Beautiful Moment in Life Pt.1,© 2015 BIGHIT MUSIC,℗ 2015 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life Pt.1/BTS - Converse High.mp3,BTS,The Most Beautiful Moment in Life Pt.1,© 2015 BIGHIT MUSIC,℗ 2015 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life Pt.1/BTS - Dope.mp3,BTS,The Most Beautiful Moment in Life Pt.1,© 2015 BIGHIT MUSIC,℗ 2015 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life Pt.1/BTS - Hold Me Tight.mp3,BTS,The Most Beautiful Moment in Life Pt.1,© 2015 BIGHIT MUSIC,℗ 2015 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life Pt.1/BTS - I Need U.mp3,BTS,The Most Beautiful Moment in Life Pt.1,© 2015 BIGHIT MUSIC,℗ 2015 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life Pt.1/BTS - Moving On.mp3,BTS,The Most Beautiful Moment in Life Pt.1,© 2015 BIGHIT MUSIC,℗ 2015 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life Pt.2/BTS - Autumn Leaves.mp3,BTS,The Most Beautiful Moment in Life Pt.2,© 2015 BIGHIT MUSIC,,no match,,
BTS || The Most Beautiful Moment in Life Pt.2/BTS - Butterfly.mp3,BTS,The Most Beautiful Moment in Life Pt.2,© 2015 BIGHIT MUSIC,,no match,,
BTS || The Most Beautiful Moment in Life Pt.2/BTS - Ma City.mp3,BTS,The Most Beautiful Moment in Life Pt.2,© 2015 BIGHIT MUSIC,,no match,,
BTS || The Most Beautiful Moment in Life Pt.2/BTS - Run.mp3,BTS,The Most Beautiful Moment in Life Pt.2,© 2015 BIGHIT MUSIC,,no match,,
BTS || The Most Beautiful Moment in Life Pt.2/BTS - Silver Spoon.mp3,BTS,The Most Beautiful Moment in Life Pt.2,© 2015 BIGHIT MUSIC,,no match,,
BTS || The Most Beautiful Moment in Life Pt.2/BTS - Whalien 52.mp3,BTS,The Most Beautiful Moment in Life Pt.2,© 2015 BIGHIT MUSIC,,no match,,
BTS || The Most Beautiful Moment in Life: Young Forever/BTS - Burning Up (Fire).mp3,BTS,The Most Beautiful Moment in Life: Young Forever,© 2016 BIGHIT MUSIC,℗ 2016 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life: Young Forever/BTS - Epilogue- Young Forever.mp3,BTS,The Most Beautiful Moment in Life: Young Forever,© 2016 BIGHIT MUSIC,℗ 2016 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life: Young Forever/BTS - House of Cards (Full Length Edition).mp3,BTS,The Most Beautiful Moment in Life: Young Forever,© 2016 BIGHIT MUSIC,℗ 2016 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life: Young Forever/BTS - I Need U (Urban Mix).mp3,BTS,The Most Beautiful Moment in Life: Young Forever,© 2016 BIGHIT MUSIC,℗ 2016 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life: Young Forever/BTS - Love Is Not Over (Full Length Edition).mp3,BTS,The Most Beautiful Moment in Life: Young Forever,© 2016 BIGHIT MUSIC,℗ 2016 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life: Young Forever/BTS - Run (Ballad Mix).mp3,BTS,The Most Beautiful Moment in Life: Young Forever,© 2016 BIGHIT MUSIC,℗ 2016 BIGHIT MUSIC,written,iTunes,
BTS || The Most Beautiful Moment in Life: Young Forever/BTS - Save Me.mp3,BTS,The Most Beautiful Moment in Life: Young Forever,© 2016 BIGHIT MUSIC,℗ 2016 BIGHIT MUSIC,written,iTunes,
BTS || Wake Up (Standard Edition)/BTS - Iine!Pt.2 - Ano Bashode.mp3,BTS,Wake Up (Standard Edition),2014 PONY CANYON INC.,,no match,,
BTS || Wake Up (Standard Edition)/BTS - The Stars.mp3,BTS,Wake Up (Standard Edition),2014 PONY CANYON INC.,,no match,,
BTS || Wake Up (Standard Edition)/BTS - Wake Up.mp3,BTS,Wake Up (Standard Edition),2014 PONY CANYON INC.,,no match,,
